# Captured cache-invalidation notification payloads
2026-08-09T10:40:16.1136341+00:00 connection=capture-2 sequence=29 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":29,"Reason":"Document:Put"}}
2026-08-09T10:40:16.1247743+00:00 connection=capture-4 sequence=29 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":29,"Reason":"Document:Put"}}
2026-08-09T10:40:16.1183464+00:00 connection=capture-3 sequence=29 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":29,"Reason":"Document:Put"}}
2026-08-09T10:40:16.1337744+00:00 connection=capture-1 sequence=29 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":29,"Reason":"Document:Put"}}
2026-08-09T10:40:16.1526889+00:00 connection=capture-1 sequence=30 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":30,"Reason":"Document:Put"}}
2026-08-09T10:40:16.1596270+00:00 connection=capture-3 sequence=30 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":30,"Reason":"Document:Put"}}
2026-08-09T10:40:16.1621110+00:00 connection=capture-2 sequence=30 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":30,"Reason":"Document:Put"}}
2026-08-09T10:40:16.1686509+00:00 connection=capture-4 sequence=30 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":30,"Reason":"Document:Put"}}
2026-08-09T10:40:16.1756605+00:00 connection=capture-3 sequence=31 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":31,"Reason":"Document:Put"}}
2026-08-09T10:40:16.1795344+00:00 connection=capture-3 sequence=32 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":32,"Reason":"Document:Put"}}
2026-08-09T10:40:16.1855805+00:00 connection=capture-2 sequence=31 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":31,"Reason":"Document:Put"}}
2026-08-09T10:40:16.1887846+00:00 connection=capture-2 sequence=32 fields=Generation contract=ignored payload={"Type":"CacheInvalidation","Value":{"Generation":32}}
2026-08-09T10:40:16.1943709+00:00 connection=capture-4 sequence=31 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":31,"Reason":"Document:Put"}}
2026-08-09T10:40:16.1990946+00:00 connection=capture-4 sequence=32 fields=Generation contract=ignored payload={"Type":"CacheInvalidation","Value":{"Generation":32}}
